ID,Resume_str,Resume_html,Category
10000142,"         BACKEND DEVELOPER

BACKEND DEVELOPER

Summary

Motivated computer applications graduate with hands-on project experience in C++ and Agile Methodology, eager to contribute to a dynamic development team.

Highlights

  C++
  Agile Methodology
  React JS
  Python
  Data Analytics
  Data Structures
  Java

Accomplishments

  Awarded 'Best Presentation' for a case study on machine learning based recommendation engine.
  Recognized for outstanding performance during a 4-month internship at Deloitte.

Experience

Java Developer
HDFC Bank -- 2024
Worked on tasks involving HTML/CSS, Linux, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 8 months of practical exposure to the MCA domain.

System Analyst
Local Chartered Accountancy Firm -- 2019
Worked on tasks involving Linux, Git, React JS. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 10 months of practical exposure to the MCA domain.

Education

Master of Computer Applications (MCA)
RV College of Engineering (MCA Program), 2021
Aggregate: 87.57%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Backend Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Motivated computer applications graduate with hands-on project experience in C++ and Agile Methodology, eager to contribute to a dynamic development team.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>C++</li><li>Agile Methodology</li><li>React JS</li><li>Python</li><li>Data Analytics</li><li>Data Structures</li><li>Java</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on machine learning based recommendation engine.</li><li>Recognized for outstanding performance during a 4-month internship at Deloitte.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Java Developer<br>HDFC Bank -- 2024<br>Worked on tasks involving HTML/CSS, Linux, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 8 months of practical exposure to the MCA domain.<br><br>System Analyst<br>Local Chartered Accountancy Firm -- 2019<br>Worked on tasks involving Linux, Git, React JS. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 10 months of practical exposure to the MCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>RV College of Engineering (MCA Program), 2021<br>Aggregate: 87.57%</p></div></div></div>",MCA
10000143,"         APPLICATION DEVELOPER

Summary

Detail-oriented Application Developer with a strong foundation in programming and application development, seeking to leverage technical skills in a challenging software role.

Highlights

  HTML/CSS
  Java
  MongoDB
  Machine Learning basics
  Software Testing
  Python

Accomplishments

  Successfully led a team of 2 students in a group project on hospital management system.
  Actively participated in college-level workshops and seminars related to hospital management system.
  Actively participated in college-level workshops and seminars related to e-commerce web application development.

Experience

Data Analyst
HDFC Bank -- 2020
Worked on tasks involving Python, C++, Spring Boot. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MCA domain.

Education

Master of Computer Applications (MCA)
PES College of Engineering, 2022
Aggregate: 83.3%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Application Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Detail-oriented Application Developer with a strong foundation in programming and application development, seeking to leverage technical skills in a challenging software role.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>HTML/CSS</li><li>Java</li><li>MongoDB</li><li>Machine Learning basics</li><li>Software Testing</li><li>Python</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Successfully led a team of 2 students in a group project on hospital management system.</li><li>Actively participated in college-level workshops and seminars related to hospital management system.</li><li>Actively participated in college-level workshops and seminars related to e-commerce web application development.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Data Analyst<br>HDFC Bank -- 2020<br>Worked on tasks involving Python, C++, Spring Boot. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>PES College of Engineering, 2022<br>Aggregate: 83.3%</p></div></div></div>",MCA
10000144,"         HR EXECUTIVE

Summary

Dynamic postgraduate professional with a solid grounding in Finance, adept at Presentation Skills and cross-functional collaboration.

Highlights

  Presentation Skills
  Project Management
  Strategic Planning
  Team Leadership
  SEO/SEM

Accomplishments

  Recognized for outstanding performance during a 2-month internship at Byju's.
  Actively participated in college-level workshops and seminars related to employee engagement survey.
  Secured a certificate of merit for academic excellence in digital marketing campaign performance.

Education

Master of Business Administration (MBA) - Specialisation: Finance
PES University School of Management, 2019
Aggregate: 62.07%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">HR Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Dynamic postgraduate professional with a solid grounding in Finance, adept at Presentation Skills and cross-functional collaboration.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Presentation Skills</li><li>Project Management</li><li>Strategic Planning</li><li>Team Leadership</li><li>SEO/SEM</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 2-month internship at Byju's.</li><li>Actively participated in college-level workshops and seminars related to employee engagement survey.</li><li>Secured a certificate of merit for academic excellence in digital marketing campaign performance.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Finance<br>PES University School of Management, 2019<br>Aggregate: 62.07%</p></div></div></div>",MBA
10000145,"         FINANCE EXECUTIVE

FINANCE EXECUTIVE

Summary

Organized Finance Executive with a strong understanding of accounting principles and hands-on exposure to Payroll Processing.

Highlights

  Payroll Processing
  Tally ERP 9
  Busy Accounting Software
  Income Tax Returns
  Financial Statement Analysis
  Invoicing

Accomplishments

  Secured a certificate of merit for academic excellence in GST compliance for small businesses.
  Actively participated in college-level workshops and seminars related to budget variance analysis.
  Recognized for outstanding performance during a 4-month internship at ABC Retail Pvt Ltd.

Education

Bachelor of Commerce (B.Com)
Jain University, 2024
Aggregate: 88.69%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Finance Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Organized Finance Executive with a strong understanding of accounting principles and hands-on exposure to Payroll Processing.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Payroll Processing</li><li>Tally ERP 9</li><li>Busy Accounting Software</li><li>Income Tax Returns</li><li>Financial Statement Analysis</li><li>Invoicing</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Secured a certificate of merit for academic excellence in GST compliance for small businesses.</li><li>Actively participated in college-level workshops and seminars related to budget variance analysis.</li><li>Recognized for outstanding performance during a 4-month internship at ABC Retail Pvt Ltd.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Commerce (B.Com)<br>Jain University, 2024<br>Aggregate: 88.69%</p></div></div></div>",BCOM
10000146,"         SOFTWARE DEVELOPER

Summary

Motivated computer applications graduate with hands-on project experience in C++ and Machine Learning basics, eager to contribute to a dynamic development team.

Highlights

  C++
  Machine Learning basics
  REST APIs
  Python
  HTML/CSS
  React JS
  Data Analytics
  SQL

Accomplishments

  Awarded 'Best Presentation' for a case study on online examination portal.
  Completed a live project on inventory management system as part of the final semester curriculum.
  Recognized for outstanding performance during a 5-month internship at Deloitte.
  Secured a certificate of merit for academic excellence in inventory management system.

Education

Master of Computer Applications (MCA)
PES College of Engineering, 2021
Aggregate: 91.99%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Software Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Motivated computer applications graduate with hands-on project experience in C++ and Machine Learning basics, eager to contribute to a dynamic development team.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>C++</li><li>Machine Learning basics</li><li>REST APIs</li><li>Python</li><li>HTML/CSS</li><li>React JS</li><li>Data Analytics</li><li>SQL</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on online examination portal.</li><li>Completed a live project on inventory management system as part of the final semester curriculum.</li><li>Recognized for outstanding performance during a 5-month internship at Deloitte.</li><li>Secured a certificate of merit for academic excellence in inventory management system.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>PES College of Engineering, 2021<br>Aggregate: 91.99%</p></div></div></div>",MCA
10000147,"         APPLICATION DEVELOPER

APPLICATION DEVELOPER

Summary

Enthusiastic Application Developer skilled in Cloud Computing (AWS/Azure), DBMS and JavaScript, with a passion for building efficient, scalable software solutions.

Highlights

  Cloud Computing (AWS/Azure)
  DBMS
  JavaScript
  Data Analytics
  Java

Accomplishments

  Recognized for outstanding performance during a 2-month internship at HCL Technologies.
  Successfully led a team of 5 students in a group project on hospital management system.
  Recognized for outstanding performance during a 3-month internship at Swiggy.

Experience

Web Developer
HCL Technologies -- 2022
Worked on tasks involving Agile Methodology, JavaScript, Python. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 7 months of practical exposure to the MCA domain.

Education

Master of Computer Applications (MCA)
PES College of Engineering, 2020
Aggregate: 72.38%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Application Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Enthusiastic Application Developer skilled in Cloud Computing (AWS/Azure), DBMS and JavaScript, with a passion for building efficient, scalable software solutions.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Cloud Computing (AWS/Azure)</li><li>DBMS</li><li>JavaScript</li><li>Data Analytics</li><li>Java</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 2-month internship at HCL Technologies.</li><li>Successfully led a team of 5 students in a group project on hospital management system.</li><li>Recognized for outstanding performance during a 3-month internship at Swiggy.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Web Developer<br>HCL Technologies -- 2022<br>Worked on tasks involving Agile Methodology, JavaScript, Python. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 7 months of practical exposure to the MCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>PES College of Engineering, 2020<br>Aggregate: 72.38%</p></div></div></div>",MCA
10000148,"         MANAGEMENT TRAINEE

MANAGEMENT TRAINEE

Summary

Ambitious Management Trainee with expertise in Business Analytics and Presentation Skills, focused on driving business growth and delivering measurable results.

Highlights

  Business Analytics
  Presentation Skills
  Financial Modeling
  Stakeholder Management
  Digital Marketing
  MS Excel (Advanced)
  Market Research

Accomplishments

  Completed a live project on digital marketing campaign performance as part of the final semester curriculum.
  Recognized for outstanding performance during a 2-month internship at Zomato.

Education

Master of Business Administration (MBA) - Specialisation: Marketing
Department of Management Studies, State University, 2023
Aggregate: 61.96%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Management Trainee</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Ambitious Management Trainee with expertise in Business Analytics and Presentation Skills, focused on driving business growth and delivering measurable results.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Business Analytics</li><li>Presentation Skills</li><li>Financial Modeling</li><li>Stakeholder Management</li><li>Digital Marketing</li><li>MS Excel (Advanced)</li><li>Market Research</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Completed a live project on digital marketing campaign performance as part of the final semester curriculum.</li><li>Recognized for outstanding performance during a 2-month internship at Zomato.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Marketing<br>Department of Management Studies, State University, 2023<br>Aggregate: 61.96%</p></div></div></div>",MBA
10000149,"         FULL STACK DEVELOPER

Summary

Enthusiastic Full Stack Developer skilled in Spring Boot, Software Testing and REST APIs, with a passion for building efficient, scalable software solutions.

Highlights

  Spring Boot
  Software Testing
  REST APIs
  Cloud Computing (AWS/Azure)
  C++
  HTML/CSS
  Data Structures

Accomplishments

  Recognized for outstanding performance during a 3-month internship at Genpact.
  Successfully led a team of 2 students in a group project on machine learning based recommendation engine.
  Successfully led a team of 4 students in a group project on hospital management system.

Education

Master of Computer Applications (MCA)
Dept. of Computer Applications, State University, 2022
Aggregate: 74.16%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Full Stack Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Enthusiastic Full Stack Developer skilled in Spring Boot, Software Testing and REST APIs, with a passion for building efficient, scalable software solutions.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Spring Boot</li><li>Software Testing</li><li>REST APIs</li><li>Cloud Computing (AWS/Azure)</li><li>C++</li><li>HTML/CSS</li><li>Data Structures</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 3-month internship at Genpact.</li><li>Successfully led a team of 2 students in a group project on machine learning based recommendation engine.</li><li>Successfully led a team of 4 students in a group project on hospital management system.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>Dept. of Computer Applications, State University, 2022<br>Aggregate: 74.16%</p></div></div></div>",MCA
10000150,"         DATA ANALYST

Summary

Enthusiastic Data Analyst skilled in React JS, Cloud Computing (AWS/Azure) and C++, with a passion for building efficient, scalable software solutions.

Highlights

  React JS
  Cloud Computing (AWS/Azure)
  C++
  REST APIs
  Agile Methodology
  Spring Boot
  Software Testing

Accomplishments

  Awarded 'Best Presentation' for a case study on machine learning based recommendation engine.
  Awarded 'Best Presentation' for a case study on inventory management system.

Education

Master of Computer Applications (MCA)
Dept. of Computer Applications, State University, 2019
Aggregate: 75.34%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Data Analyst</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Enthusiastic Data Analyst skilled in React JS, Cloud Computing (AWS/Azure) and C++, with a passion for building efficient, scalable software solutions.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>React JS</li><li>Cloud Computing (AWS/Azure)</li><li>C++</li><li>REST APIs</li><li>Agile Methodology</li><li>Spring Boot</li><li>Software Testing</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on machine learning based recommendation engine.</li><li>Awarded 'Best Presentation' for a case study on inventory management system.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>Dept. of Computer Applications, State University, 2019<br>Aggregate: 75.34%</p></div></div></div>",MCA
10000151,"         JAVA DEVELOPER

Summary

Motivated computer applications graduate with hands-on project experience in Agile Methodology and Machine Learning basics, eager to contribute to a dynamic development team.

Highlights

  Agile Methodology
  Machine Learning basics
  JavaScript
  Git
  Spring Boot
  MongoDB
  Linux
  REST APIs

Accomplishments

  Actively participated in college-level workshops and seminars related to e-commerce web application development.
  Completed a live project on machine learning based recommendation engine as part of the final semester curriculum.

Education

Master of Computer Applications (MCA)
Christ University, School of Computer Science, 2025
Aggregate: 64.67%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Java Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Motivated computer applications graduate with hands-on project experience in Agile Methodology and Machine Learning basics, eager to contribute to a dynamic development team.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Agile Methodology</li><li>Machine Learning basics</li><li>JavaScript</li><li>Git</li><li>Spring Boot</li><li>MongoDB</li><li>Linux</li><li>REST APIs</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Actively participated in college-level workshops and seminars related to e-commerce web application development.</li><li>Completed a live project on machine learning based recommendation engine as part of the final semester curriculum.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>Christ University, School of Computer Science, 2025<br>Aggregate: 64.67%</p></div></div></div>",MCA
10000152,"         SOFTWARE TESTER

SOFTWARE TESTER

Summary

Fresh BCA graduate with practical exposure to HTML/CSS and Python, looking to start a career in software development.

Highlights

  HTML/CSS
  Python
  Software Testing
  Git
  Operating Systems
  C Programming

Accomplishments

  Successfully led a team of 4 students in a group project on attendance tracking app.
  Completed a live project on student database management system as part of the final semester curriculum.

Education

Bachelor of Computer Applications (BCA)
St. Joseph's College of Commerce, 2020
Aggregate: 65.82%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Software Tester</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Fresh BCA graduate with practical exposure to HTML/CSS and Python, looking to start a career in software development.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>HTML/CSS</li><li>Python</li><li>Software Testing</li><li>Git</li><li>Operating Systems</li><li>C Programming</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Successfully led a team of 4 students in a group project on attendance tracking app.</li><li>Completed a live project on student database management system as part of the final semester curriculum.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>St. Joseph's College of Commerce, 2020<br>Aggregate: 65.82%</p></div></div></div>",BCA
10000153,"         ACCOUNTS EXECUTIVE

Summary

Diligent commerce graduate skilled in GST Filing, Financial Statement Analysis and Invoicing, committed to accuracy and timely financial reporting.

Highlights

  GST Filing
  Financial Statement Analysis
  Invoicing
  Financial Accounting
  MS Excel

Accomplishments

  Completed a live project on budget variance analysis as part of the final semester curriculum.
  Actively participated in college-level workshops and seminars related to audit of financial statements.
  Completed a live project on ratio analysis of listed companies as part of the final semester curriculum.

Experience

Finance Executive
HCL Technologies -- 2024
Worked on tasks involving Taxation, Payroll Processing, Auditing Basics. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 13 months of practical exposure to the BCOM domain.

Education

Bachelor of Commerce (B.Com)
Mount Carmel College, 2020
Aggregate: 78.58%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Accounts Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Diligent commerce graduate skilled in GST Filing, Financial Statement Analysis and Invoicing, committed to accuracy and timely financial reporting.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>GST Filing</li><li>Financial Statement Analysis</li><li>Invoicing</li><li>Financial Accounting</li><li>MS Excel</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Completed a live project on budget variance analysis as part of the final semester curriculum.</li><li>Actively participated in college-level workshops and seminars related to audit of financial statements.</li><li>Completed a live project on ratio analysis of listed companies as part of the final semester curriculum.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Finance Executive<br>HCL Technologies -- 2024<br>Worked on tasks involving Taxation, Payroll Processing, Auditing Basics. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 13 months of practical exposure to the BCOM domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Commerce (B.Com)<br>Mount Carmel College, 2020<br>Aggregate: 78.58%</p></div></div></div>",BCOM
10000154,"         BUSINESS ANALYST

BUSINESS ANALYST

Summary

Result-driven MBA graduate specializing in Marketing, with strong analytical and leadership skills developed through internships and live projects.

Highlights

  CRM Tools (Salesforce)
  Digital Marketing
  Stakeholder Management
  Strategic Planning
  Team Leadership
  SEO/SEM
  Market Research
  Business Analytics

Accomplishments

  Recognized for outstanding performance during a 5-month internship at Regional Marketing Agency.
  Recognized for outstanding performance during a 2-month internship at National Insurance Co..
  Successfully led a team of 3 students in a group project on employee engagement survey.
  Successfully led a team of 5 students in a group project on consumer behaviour analysis.

Experience

HR Generalist
Genpact -- 2022
Worked on tasks involving Budgeting & Forecasting, Stakeholder Management, Strategic Planning. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MBA domain.

Education

Master of Business Administration (MBA) - Specialisation: Marketing
Symbiosis Institute of Business Management, 2020
Aggregate: 82.63%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Business Analyst</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Result-driven MBA graduate specializing in Marketing, with strong analytical and leadership skills developed through internships and live projects.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>CRM Tools (Salesforce)</li><li>Digital Marketing</li><li>Stakeholder Management</li><li>Strategic Planning</li><li>Team Leadership</li><li>SEO/SEM</li><li>Market Research</li><li>Business Analytics</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 5-month internship at Regional Marketing Agency.</li><li>Recognized for outstanding performance during a 2-month internship at National Insurance Co..</li><li>Successfully led a team of 3 students in a group project on employee engagement survey.</li><li>Successfully led a team of 5 students in a group project on consumer behaviour analysis.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>HR Generalist<br>Genpact -- 2022<br>Worked on tasks involving Budgeting & Forecasting, Stakeholder Management, Strategic Planning. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MBA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Marketing<br>Symbiosis Institute of Business Management, 2020<br>Aggregate: 82.63%</p></div></div></div>",MBA
10000155,"         SYSTEM ANALYST

Summary

Detail-oriented System Analyst with a strong foundation in programming and application development, seeking to leverage technical skills in a challenging software role.

Highlights

  Data Analytics
  REST APIs
  DBMS
  Agile Methodology
  HTML/CSS
  JavaScript
  Data Structures
  C++

Accomplishments

  Recognized for outstanding performance during a 4-month internship at Bajaj Finserv.
  Actively participated in college-level workshops and seminars related to machine learning based recommendation engine.

Experience

Application Developer
Wipro -- 2020
Worked on tasks involving JavaScript, Spring Boot, React JS. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 4 months of practical exposure to the MCA domain.

Web Developer
Capgemini -- 2023
Worked on tasks involving Machine Learning basics, Java, REST APIs. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 10 months of practical exposure to the MCA domain.

Education

Master of Computer Applications (MCA)
BMS Institute of Technology, 2019
Aggregate: 84.69%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">System Analyst</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Detail-oriented System Analyst with a strong foundation in programming and application development, seeking to leverage technical skills in a challenging software role.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Data Analytics</li><li>REST APIs</li><li>DBMS</li><li>Agile Methodology</li><li>HTML/CSS</li><li>JavaScript</li><li>Data Structures</li><li>C++</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 4-month internship at Bajaj Finserv.</li><li>Actively participated in college-level workshops and seminars related to machine learning based recommendation engine.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Application Developer<br>Wipro -- 2020<br>Worked on tasks involving JavaScript, Spring Boot, React JS. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 4 months of practical exposure to the MCA domain.<br><br>Web Developer<br>Capgemini -- 2023<br>Worked on tasks involving Machine Learning basics, Java, REST APIs. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 10 months of practical exposure to the MCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>BMS Institute of Technology, 2019<br>Aggregate: 84.69%</p></div></div></div>",MCA
10000156,"         PRODUCT MANAGER

PRODUCT MANAGER

Summary

Result-driven MBA graduate specializing in Operations, with strong analytical and leadership skills developed through internships and live projects.

Highlights

  Financial Modeling
  Market Research
  Budgeting & Forecasting
  SEO/SEM
  Client Relationship Management
  MS Excel (Advanced)
  Presentation Skills

Accomplishments

  Secured a certificate of merit for academic excellence in supply chain optimization.
  Actively participated in college-level workshops and seminars related to employee engagement survey.
  Secured a certificate of merit for academic excellence in digital marketing campaign performance.

Education

Master of Business Administration (MBA) - Specialisation: Operations
Symbiosis Institute of Business Management, 2024
Aggregate: 89.36%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Product Manager</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Result-driven MBA graduate specializing in Operations, with strong analytical and leadership skills developed through internships and live projects.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Financial Modeling</li><li>Market Research</li><li>Budgeting & Forecasting</li><li>SEO/SEM</li><li>Client Relationship Management</li><li>MS Excel (Advanced)</li><li>Presentation Skills</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Secured a certificate of merit for academic excellence in supply chain optimization.</li><li>Actively participated in college-level workshops and seminars related to employee engagement survey.</li><li>Secured a certificate of merit for academic excellence in digital marketing campaign performance.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Operations<br>Symbiosis Institute of Business Management, 2024<br>Aggregate: 89.36%</p></div></div></div>",MBA
